IdCiudad;Nombre;Apellido;FechaNacimiento;EstadoCivil;Genero;Email;IngresoAnual;TotalHijos;CantHijosEnCasa;Educacion;Ocupacion;Propietario;CantAutomoviles;Direccion;Telefono;Distancia;Region;Edad;prediction(ComproBicicleta)
184;Ashlee;Xie;27/1/1970 00:00;S;F;ashlee10@mineriadedatos.com.ar;10000;1;1;'Educación secundaria';Obrero;0;2;'92  rue Ste-Honoré';'500 555-0159';'0-1 Km.';Centro;43;0
383;Marcus;Campbell;23/5/1980 00:00;S;M;marcus44@mineriadedatos.com.ar;100000;3;0;Licenciatura;Gestión;1;3;'8819 Camino Norte';911-555-0178;'2-5 Km.';Norte;32;1
220;Monique;Vazquez;16/2/1979 00:00;C;F;monique11@mineriadedatos.com.ar;20000;4;4;'Educación secundaria';Obrero;1;2;'2  rue Lafayette';'500 555-0129';'0-1 Km.';Centro;34;0
311;Adriana;Malhotra;24/4/1965 00:00;C;F;adriana5@mineriadedatos.com.ar;80000;3;3;Licenciatura;'Obrero especializado';1;3;'1944 Serene Court';911-555-0122;'10+ Km.';Norte;48;1
258;Johnny;Goel;2/12/1937 00:00;C;M;johnny21@mineriadedatos.com.ar;30000;1;0;'Estudios de postgrado';Administrativo;1;0;'5869 Clayton Road';'500 555-0155';'0-1 Km.';Centro;75;0
10;Corey;Lal;13/12/1947 00:00;C;M;corey8@mineriadedatos.com.ar;20000;4;0;'Educación secundaria';'Obrero especializado';1;2;'9161 Viking Drive';'500 555-0194';'5-10 Km.';Sur;65;0
203;Omar;Goel;10/12/1951 00:00;C;M;omar40@mineriadedatos.com.ar;80000;4;1;'Educación secundaria';Profesional;1;3;'1  avenue des Champs-Elysées';'500 555-0134';'10+ Km.';Centro;61;0
155;Christian;Long;10/3/1980 00:00;S;M;christian24@mineriadedatos.com.ar;20000;0;0;'Educación secundaria (en curso)';Obrero;1;2;'Heidestieg Straße 8664';'500 555-0111';'1-2 Km.';Centro;33;0
205;Ronnie;Wagner;14/5/1943 00:00;S;M;ronnie1@mineriadedatos.com.ar;10000;3;0;'Estudios universitarios (en curso)';Obrero;1;1;'49  rue Royale';'500 555-0152';'1-2 Km.';Centro;70;0
32;Daisy;Navarro;24/4/1957 00:00;S;F;daisy6@mineriadedatos.com.ar;70000;2;0;'Educación secundaria';'Obrero especializado';0;2;'7427 Grove Way';'500 555-0120';'1-2 Km.';Sur;56;1
553;Hunter;Li;6/12/1958 00:00;S;M;hunter21@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;'2612 Berry Dr';402-555-0113;'2-5 Km.';Norte;54;1
177;Ebony;Martinez;5/10/1965 00:00;S;F;ebony18@mineriadedatos.com.ar;20000;2;2;'Educación secundaria';Obrero;1;0;'Heideweg 1442';'500 555-0165';'0-1 Km.';Centro;47;1
244;Derrick;Moreno;13/6/1972 00:00;S;M;derrick6@mineriadedatos.com.ar;30000;0;0;'Educación secundaria';Obrero;0;1;'8942 Sierra Road';'500 555-0195';'1-2 Km.';Centro;40;1
162;Katie;Becker;23/7/1972 00:00;C;F;katie23@mineriadedatos.com.ar;40000;2;2;'Estudios universitarios (en curso)';Administrativo;1;0;'Husemann Straße 2464';'500 555-0140';'1-2 Km.';Centro;40;1
273;Isabel;Bradley;14/2/1965 00:00;C;F;isabel1@mineriadedatos.com.ar;30000;1;1;Licenciatura;'Obrero especializado';1;2;'2340 Jill Ave';'500 555-0142';'0-1 Km.';Centro;48;0
32;Brendan;Andersen;17/6/1976 00:00;S;M;brendan11@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;3;'9119 Near Drive';'500 555-0110';'10+ Km.';Sur;36;0
300;Ariana;Kelly;2/3/1949 00:00;C;F;ariana2@mineriadedatos.com.ar;60000;2;1;Licenciatura;Gestión;0;0;'6404 West Slough Rd';366-555-0128;'2-5 Km.';Norte;64;0
307;Patricia;Rodriguez;8/9/1965 00:00;S;F;patricia21@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;1;1;'417 Silver Oak Pl';152-555-0182;'2-5 Km.';Norte;47;1
9;Jay;Martin;25/9/1967 00:00;C;M;jay29@mineriadedatos.com.ar;90000;4;4;Licenciatura;Profesional;1;0;'8384 Potomac Drive';'500 555-0160';'0-1 Km.';Sur;45;1
