IdCiudad;Nombre;Apellido;FechaNacimiento;EstadoCivil;Genero;Email;IngresoAnual;TotalHijos;CantHijosEnCasa;Educacion;Ocupacion;Propietario;CantAutomoviles;Direccion;Telefono;Distancia;Region;Edad;prediction(ComproBicicleta);$T-Bietápico;Tipo Bicicleta
383;Marcus;Campbell;29364;S;M;marcus44@mineriadedatos.com.ar;100000;3;0;Licenciatura;GestiÃ³n;1;3;8819 Camino Norte;911-555-0178;2-5 Km.;Norte;32;1;Cluster-1;Basic
311;Adriana;Malhotra;23856;C;F;adriana5@mineriadedatos.com.ar;80000;3;3;Licenciatura;Obrero especializado;1;3;1944 Serene Court;911-555-0122;10+ Km.;Norte;48;1;Cluster-2;Kinder y Sports
32;Daisy;Navarro;20934;S;F;daisy6@mineriadedatos.com.ar;70000;2;0;EducaciÃ³n secundaria;Obrero especializado;0;2;7427 Grove Way;500 555-0120;1-2 Km.;Sur;56;1;Cluster-3;Basic
553;Hunter;Li;21525;S;M;hunter21@mineriadedatos.com.ar;60000;1;0;Licenciatura;Profesional;1;1;2612 Berry Dr;402-555-0113;2-5 Km.;Norte;54;1;Cluster-1;Basic
177;Ebony;Martinez;24020;S;F;ebony18@mineriadedatos.com.ar;20000;2;2;EducaciÃ³n secundaria;Obrero;1;0;Heideweg 1442;500 555-0165;0-1 Km.;Centro;47;1;Cluster-1;Basic
244;Derrick;Moreno;26463;S;M;derrick6@mineriadedatos.com.ar;30000;0;0;EducaciÃ³n secundaria;Obrero;0;1;8942 Sierra Road;500 555-0195;1-2 Km.;Centro;40;1;Cluster-3;Basic
162;Katie;Becker;26503;C;F;katie23@mineriadedatos.com.ar;40000;2;2;Estudios universitarios (en curso);Administrativo;1;0;Husemann StraÃŸe 2464;500 555-0140;1-2 Km.;Centro;40;1;Cluster-1;Basic
307;Patricia;Rodriguez;23993;S;F;patricia21@mineriadedatos.com.ar;40000;0;0;Licenciatura;Profesional;1;1;417 Silver Oak Pl;152-555-0182;2-5 Km.;Norte;47;1;Cluster-1;Basic
9;Jay;Martin;24740;C;M;jay29@mineriadedatos.com.ar;90000;4;4;Licenciatura;Profesional;1;0;8384 Potomac Drive;500 555-0160;0-1 Km.;Sur;45;1;Cluster-1;Basic
39;Darryl;Liu;27540;S;M;darryl4@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;2;4404 Mildred Avenue;500 555-0157;5-10 Km.;Sur;37;1;Cluster-3;Basic
209;Katelyn;Peterson;26684;S;F;katelyn3@mineriadedatos.com.ar;30000;0;0;Estudios universitarios (en curso);Administrativo;1;1;332  boulevard dÂ´Albi;500 555-0137;2-5 Km.;Centro;40;1;Cluster-1;Basic
187;Bryan;Bell;24630;S;M;bryan14@mineriadedatos.com.ar;10000;3;3;EducaciÃ³n secundaria;Obrero;1;1;34  place Beaubernard;500 555-0171;0-1 Km.;Centro;45;1;Cluster-1;Basic
23;Alexis;Long;28952;S;F;alexis32@mineriadedatos.com.ar;10000;1;1;EducaciÃ³n secundaria;Obrero;0;0;3376 Jacaranda Dr.;500 555-0174;1-2 Km.;Sur;34;1;Cluster-3;Basic
133;Cynthia;Perez;20898;C;F;cynthia27@mineriadedatos.com.ar;130000;2;4;Estudios universitarios (en curso);Profesional;1;2;Im Himmelsweg 89;500 555-0142;0-1 Km.;Centro;56;1;Cluster-2;Kinder y Sports
25;Seth;Campbell;25051;C;M;seth43@mineriadedatos.com.ar;70000;0;0;Licenciatura;Profesional;0;1;3639 Blackridge Drive;500 555-0180;0-1 Km.;Sur;44;1;Cluster-3;Basic
